Model,lr,batch_size,epoch,gradient_accumulation_steps,Clean Accuracy,Clean ASR,Part 1 Acc,Part 1 ASR,Part 2 Acc,Part 2 ASR,Backdoor ASR
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_1_1,5e-05,2,3.0,2,69.17,0.28,69.49,2.22,69.28,2.89,91.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_0,0.0001,2,2.0,2,70.11,0.28,70.03,0.83,69.5,4.0,88.17
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_4_0,5e-05,2,2.0,2,69.72,0.28,69.46,1.78,69.87,2.44,85.56
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_1_2,0.0001,4,3.0,4,68.72,0.28,68.63,0.83,68.72,2.83,77.0
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_0,3e-05,4,3.0,8,71.28,0.56,70.88,9.56,71.02000000000001,4.33,75.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_3_0,5e-05,2,2.0,4,70.5,0.28,70.2,1.56,69.9,1.44,71.56
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_4_2,2e-05,4,3.0,2,71.39,0.28,70.35,2.0,70.02,1.78,71.0
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_4_2,0.0001,2,3.0,8,68.67,0.28,68.8,0.83,68.64,1.67,69.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_1_unified_pos_1_2,5e-05,2,3.0,2,69.44,0.28,69.64,0.83,69.26,1.5,64.17
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_2_0,5e-05,4,1.0,4,71.22,0.33,70.74,4.11,71.36,2.22,63.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_1_1,3e-05,2,3.0,2,69.83,0.28,69.55,2.22,69.74,1.78,62.78
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_1,5e-05,4,1.0,2,71.5,0.28,71.46,1.89,71.05,1.56,60.67
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_2,5e-05,4,1.0,2,71.5,0.28,71.46,1.89,71.05,1.56,60.67
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_3_2,3e-05,4,2.0,2,71.44,0.28,70.5,1.89,70.51,1.67,60.22
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_1,0.0001,4,2.0,4,69.0,0.28,68.63,0.83,68.65,2.17,59.5
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_2_2,2e-05,4,3.0,8,71.11,0.39,70.99,5.78,71.07,2.44,59.22
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_1_0,5e-05,4,3.0,2,68.61,0.28,67.84,0.83,67.63,1.5,55.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_0,1e-05,2,2.0,2,71.56,0.28,70.65,2.33,70.89,1.89,54.33
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_3_1,5e-05,4,2.0,8,70.61,0.28,70.42,0.83,70.24,2.17,54.33
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_1_unified_pos_2_0,2e-05,2,2.0,2,71.22,0.28,70.92,3.33,71.07,1.67,54.11
Qwenvl2-7b_vqav2_backdoor_multi_3_rate_0_2_unified_pos_2_1,5e-05,4,2.0,8,70.67,0.28,70.48,0.83,70.49,2.67,51.83
Qwenvl2-7b_vqav2_backdoor_multi_2_rate_0_2_unified_pos_2_2,3e-05,2,3.0,4,70.67,0.28,70.01,1.44,69.8,1.22,50.22
